id	Jurisdiccion	Ubicación	Provincia	geo_longitude	geo_latitude	Condenados	Procesados
SPP32	SPP	Esquel	Chubut	-71.3216454	-42.9172905	44	9
SPF33	SPF	Esquel	Chubut	-71.3216454	-42.9172905	82	13
SPF34	SPF	Ezeiza	Buenos Aires	-58.5358336	-34.822218	992	1657
SPP35	SPP	Federal	Entre Ríos	-58.784387	-30.952325	18	8
SPP36	SPP	Florencio Varela	Buenos Aires	-58.2744155	-34.80121	1410	2458
SPP37	SPP	Formosa	Formosa	-58.1744976	-26.1852983	75	116
SPF38	SPF	Formosa	Formosa	-58.1744976	-26.1852983	46	40
SPP39	SPP	General Acha	La Pampa	-64.6043041	-37.3781867	8	9
SPP40	SPP	General Alvear	Buenos Aires	-58.6663756	-34.6545515	988	734
SPP41	SPP	General Güemes	Salta	-64.90139665	-24.8069123	161	307
SPP42	SPP	General Pico	La Pampa	-63.754276	-35.6635985	20	0
SPP43	SPP	General Roca	Río Negro	-67.5755036	-39.026782	229	82
SPF44	SPF	General Roca	Río Negro	-67.5755036	-39.026782	208	32
SPP45	SPP	Gonzalez Catán	Buenos Aires	-58.6412046	-34.7752996	148	415
SPP46	SPP	Gral. San Martín	Chaco	-59.34269	-26.53898	48	16
SPP47	SPP	Gualeguay	Entre Ríos	-59.3130305	-33.1464566	88	14
SPP48	SPP	Gualeguaychú	Entre Ríos	-58.5109907	-33.0078883	98	46
SPP49	SPP	Isidro Casanova	Buenos Aires	-58.5861609	-34.7047876	0	14
SPP50	SPP	Ituzaingó	Buenos Aires	-58.6805625	-34.6519584	232	432
SPP51	SPP	Juan José Castelli	Chaco	-60.6200384	-25.9464636	16	8
SPP52	SPP	Junín	Buenos Aires	-60.9470193	-34.5930759	526	709
SPP53	SPP	Junin De Los Andes	Neuquen	-71.0708362	-39.950863	18	3
SPP54	SPP	La Isla, Cerrillos	Salta	-65.383333	-24.883333	19	99
SPP55	SPP	La Plata	Buenos Aires	-57.954384	-34.921136	428	977
SPP56	SPP	La Rioja	La Rioja	-66.8559081	-29.4127298	156	134
SPP57	SPP	Las Heras	Mendoza	-68.8240944	-32.8646639	24	66
SPP58	SPP	Las Lomitas	Formosa	-60.594304	-24.7075201	35	55
SPP59	SPP	General Lavalle	Mendoza	-67.95812716	-32.59023465	31	0
SPP60	SPP	Lomas De Zamora	Buenos Aires	-58.424436	-34.7619711	120	447
SPP61	SPP	Loreto	Misiones	-55.523185	-27.3319773	190	28
SPP62	SPP	Magdalena	Buenos Aires	-57.5149563	-35.0783333	1192	1564
